ID, Óra, Perc, Nap, Járat
217,10,10,hétköznap,21
218,10,20,hétköznap,21
219,10,30,hétköznap,21
220,10,40,hétköznap,21
221,10,50,hétköznap,21
222,11,0,hétköznap,21
223,11,10,hétköznap,21
224,11,20,hétköznap,21
225,11,30,hétköznap,21
226,11,40,hétköznap,21
227,11,50,hétköznap,21
228,12,0,hétköznap,21
229,12,10,hétköznap,21
230,12,20,hétköznap,21
231,12,30,hétköznap,21
232,12,40,hétköznap,21
233,12,50,hétköznap,21
234,13,0,hétköznap,21
235,13,10,hétköznap,21
236,13,20,hétköznap,21
237,13,30,hétköznap,21
238,13,40,hétköznap,21
239,13,50,hétköznap,21
240,14,0,hétköznap,21
241,14,10,hétköznap,21
242,14,20,hétköznap,21
243,14,30,hétköznap,21
244,14,40,hétköznap,21
245,14,50,hétköznap,21
246,15,0,hétköznap,21
247,15,10,hétköznap,21
248,15,20,hétköznap,21
249,15,30,hétköznap,21
250,15,40,hétköznap,21
251,15,50,hétköznap,21
252,16,0,hétköznap,21
253,16,10,hétköznap,21
254,16,20,hétköznap,21
255,16,30,hétköznap,21
256,16,40,hétköznap,21
257,16,50,hétköznap,21
258,17,0,hétköznap,21
259,17,10,hétköznap,21
260,17,20,hétköznap,21
261,17,30,hétköznap,21
262,17,40,hétköznap,21
263,17,50,hétköznap,21
264,18,0,hétköznap,21
265,18,10,hétköznap,21
266,18,20,hétköznap,21
267,18,30,hétköznap,21
268,18,40,hétköznap,21
269,18,50,hétköznap,21
270,19,0,hétköznap,21
271,19,10,hétköznap,21
272,19,20,hétköznap,21
273,19,30,hétköznap,21
274,19,40,hétköznap,21
275,19,50,hétköznap,21
276,20,0,hétköznap,21
277,20,10,hétköznap,21
278,20,20,hétköznap,21
279,20,30,hétköznap,21
280,20,40,hétköznap,21
281,20,50,hétköznap,21
282,21,0,hétköznap,21
283,21,10,hétköznap,21
284,21,20,hétköznap,21
285,21,30,hétköznap,21
286,21,40,hétköznap,21
287,21,50,hétköznap,21
288,22,0,hétköznap,21
289,4,15,hétvége,21
290,4,30,hétvége,21
291,4,45,hétvége,21
292,5,0,hétvége,21
293,5,15,hétvége,21
294,5,30,hétvége,21
295,5,45,hétvége,21
296,6,0,hétvége,21
297,6,15,hétvége,21
298,6,30,hétvége,21
299,6,45,hétvége,21
300,7,0,hétvége,21
301,7,15,hétvége,21
302,7,30,hétvége,21
303,7,45,hétvége,21
304,8,0,hétvége,21
305,8,15,hétvége,21
306,8,30,hétvége,21
307,8,45,hétvége,21
308,9,0,hétvége,21
309,9,15,hétvége,21
310,9,30,hétvége,21
311,9,45,hétvége,21
312,10,0,hétvége,21
313,10,15,hétvége,21
314,10,30,hétvége,21
315,10,45,hétvége,21
316,11,0,hétvége,21
317,11,15,hétvége,21
318,11,30,hétvége,21
319,11,45,hétvége,21
320,12,0,hétvége,21
321,12,15,hétvége,21
322,12,30,hétvége,21
323,12,45,hétvége,21
324,13,0,hétvége,21
325,13,15,hétvége,21
326,13,30,hétvége,21
327,13,45,hétvége,21
328,14,0,hétvége,21
329,14,15,hétvége,21
330,14,30,hétvége,21
331,14,45,hétvége,21
332,15,0,hétvége,21
333,15,15,hétvége,21
334,15,30,hétvége,21
335,15,45,hétvége,21
336,16,0,hétvége,21
337,16,15,hétvége,21
338,16,30,hétvége,21
339,16,45,hétvége,21
340,17,0,hétvége,21
341,17,15,hétvége,21
342,17,30,hétvége,21
343,17,45,hétvége,21
344,18,0,hétvége,21
345,18,15,hétvége,21
346,18,30,hétvége,21
347,18,45,hétvége,21
348,19,0,hétvége,21
349,19,15,hétvége,21
350,19,30,hétvége,21
351,19,45,hétvége,21
352,20,0,hétvége,21
353,20,15,hétvége,21
354,20,30,hétvége,21
355,20,45,hétvége,21
356,21,0,hétvége,21
357,21,15,hétvége,21
358,21,30,hétvége,21
359,21,45,hétvége,21
360,22,0,hétvége,21
361,4,15,hétköznap,24
362,4,30,hétköznap,24
363,4,45,hétköznap,24
364,5,0,hétköznap,24
365,5,15,hétköznap,24
366,5,30,hétköznap,24
367,5,45,hétköznap,24
368,6,0,hétköznap,24
369,6,15,hétköznap,24
370,6,30,hétköznap,24
371,6,45,hétköznap,24
372,7,0,hétköznap,24
373,7,15,hétköznap,24
374,7,30,hétköznap,24
375,7,45,hétköznap,24
376,8,0,hétköznap,24
377,8,15,hétköznap,24
378,8,30,hétköznap,24
379,8,45,hétköznap,24
380,9,0,hétköznap,24
381,9,15,hétköznap,24
382,9,30,hétköznap,24
383,9,45,hétköznap,24
384,10,0,hétköznap,24
385,10,15,hétköznap,24
386,10,30,hétköznap,24
387,10,45,hétköznap,24
388,11,0,hétköznap,24
389,11,15,hétköznap,24
390,11,30,hétköznap,24
391,11,45,hétköznap,24
392,12,0,hétköznap,24
393,12,15,hétköznap,24
394,12,30,hétköznap,24
395,12,45,hétköznap,24
396,13,0,hétköznap,24
397,13,15,hétköznap,24
398,13,30,hétköznap,24
399,13,45,hétköznap,24
400,14,0,hétköznap,24
401,14,15,hétköznap,24
402,14,30,hétköznap,24
403,14,45,hétköznap,24
404,15,0,hétköznap,24
405,15,15,hétköznap,24
406,15,30,hétköznap,24
407,15,45,hétköznap,24
408,16,0,hétköznap,24
409,16,15,hétköznap,24
410,16,30,hétköznap,24
411,16,45,hétköznap,24
412,17,0,hétköznap,24
413,17,15,hétköznap,24
414,17,30,hétköznap,24
415,17,45,hétköznap,24
416,18,0,hétköznap,24
417,18,15,hétköznap,24
418,18,30,hétköznap,24
419,18,45,hétköznap,24
420,19,0,hétköznap,24
421,19,15,hétköznap,24
422,19,30,hétköznap,24
423,19,45,hétköznap,24
424,20,0,hétköznap,24
425,20,15,hétköznap,24
426,20,30,hétköznap,24
427,20,45,hétköznap,24
428,21,0,hétköznap,24
429,21,15,hétköznap,24
430,21,30,hétköznap,24
431,21,45,hétköznap,24
432,22,0,hétköznap,24
433,4,20,hétvége,24
434,4,40,hétvége,24
435,5,0,hétvége,24
436,5,20,hétvége,24
437,5,40,hétvége,24
438,6,0,hétvége,24
439,6,20,hétvége,24
440,6,40,hétvége,24
441,7,0,hétvége,24
442,7,20,hétvége,24
443,7,40,hétvége,24
444,8,0,hétvége,24
445,8,20,hétvége,24
446,8,40,hétvége,24
447,9,0,hétvége,24
448,9,20,hétvége,24
449,9,40,hétvége,24
450,10,0,hétvége,24
451,10,20,hétvége,24
452,10,40,hétvége,24
453,11,0,hétvége,24
454,11,20,hétvége,24
455,11,40,hétvége,24
456,12,0,hétvége,24
457,12,20,hétvége,24
458,12,40,hétvége,24
459,13,0,hétvége,24
460,13,20,hétvége,24
461,13,40,hétvége,24
462,14,0,hétvége,24
463,14,20,hétvége,24
464,14,40,hétvége,24
465,15,0,hétvége,24
466,15,20,hétvége,24
467,15,40,hétvége,24
468,16,0,hétvége,24
469,16,20,hétvége,24
470,16,40,hétvége,24
471,17,0,hétvége,24
472,17,20,hétvége,24
473,17,40,hétvége,24
474,18,0,hétvége,24
475,18,20,hétvége,24
476,18,40,hétvége,24
477,19,0,hétvége,24
478,19,20,hétvége,24
479,19,40,hétvége,24
480,20,0,hétvége,24
481,20,20,hétvége,24
482,20,40,hétvége,24
483,21,0,hétvége,24
484,21,20,hétvége,24
485,21,40,hétvége,24
486,22,0,hétvége,24
487,4,30,hétköznap,32
488,5,0,hétköznap,32
489,5,30,hétköznap,32
490,6,0,hétköznap,32
491,6,30,hétköznap,32
492,7,0,hétköznap,32
493,7,30,hétköznap,32
494,8,0,hétköznap,32
495,8,30,hétköznap,32
496,9,0,hétköznap,32
497,9,30,hétköznap,32
498,10,0,hétköznap,32
499,10,30,hétköznap,32
500,11,0,hétköznap,32
501,11,30,hétköznap,32
502,12,0,hétköznap,32
503,12,30,hétköznap,32
504,13,0,hétköznap,32
505,13,30,hétköznap,32
506,14,0,hétköznap,32
507,14,30,hétköznap,32
508,15,0,hétköznap,32
509,15,30,hétköznap,32
510,16,0,hétköznap,32
511,16,30,hétköznap,32
512,17,0,hétköznap,32
513,17,30,hétköznap,32
514,18,0,hétköznap,32
515,18,30,hétköznap,32
516,19,0,hétköznap,32
517,19,30,hétköznap,32
518,20,0,hétköznap,32
519,20,30,hétköznap,32
520,21,0,hétköznap,32
521,21,30,hétköznap,32
522,22,0,hétköznap,32
523,4,45,hétvége,32
524,5,30,hétvége,32
525,6,15,hétvége,32
526,7,0,hétvége,32
527,7,45,hétvége,32
528,8,30,hétvége,32
529,9,15,hétvége,32
530,10,0,hétvége,32
531,10,45,hétvége,32
532,11,30,hétvége,32
533,12,15,hétvége,32
534,13,0,hétvége,32
535,13,45,hétvége,32
536,14,30,hétvége,32
537,15,15,hétvége,32
538,16,0,hétvége,32
539,16,45,hétvége,32
540,17,30,hétvége,32
541,18,15,hétvége,32
542,19,0,hétvége,32
543,19,45,hétvége,32
544,20,30,hétvége,32
545,21,15,hétvége,32
546,22,0,hétvége,32
547,5,0,hétköznap,36
548,6,0,hétköznap,36
549,7,0,hétköznap,36
550,8,0,hétköznap,36
551,9,0,hétköznap,36
552,10,0,hétköznap,36
553,11,0,hétköznap,36
554,12,0,hétköznap,36
555,13,0,hétköznap,36
556,14,0,hétköznap,36
557,15,0,hétköznap,36
558,16,0,hétköznap,36
559,17,0,hétköznap,36
560,18,0,hétköznap,36
561,19,0,hétköznap,36
562,20,0,hétköznap,36
563,21,0,hétköznap,36
564,22,0,hétköznap,36
565,5,0,hétvége,36
566,6,0,hétvége,36
567,7,0,hétvége,36
568,8,0,hétvége,36
569,9,0,hétvége,36
570,10,0,hétvége,36
571,11,0,hétvége,36
572,12,0,hétvége,36
573,13,0,hétvége,36
574,14,0,hétvége,36
575,15,0,hétvége,36
576,16,0,hétvége,36
577,17,0,hétvége,36
578,18,0,hétvége,36
579,19,0,hétvége,36
580,20,0,hétvége,36
581,21,0,hétvége,36
582,22,0,hétvége,36
583,4,10,hétköznap,60
584,4,20,hétköznap,60
585,4,30,hétköznap,60
586,4,40,hétköznap,60
587,4,50,hétköznap,60
588,5,0,hétköznap,60
589,5,10,hétköznap,60
590,5,20,hétköznap,60
591,5,30,hétköznap,60
592,5,40,hétköznap,60
593,5,50,hétköznap,60
594,6,0,hétköznap,60
595,6,10,hétköznap,60
596,6,20,hétköznap,60
597,6,30,hétköznap,60
598,6,40,hétköznap,60
599,6,50,hétköznap,60
600,7,0,hétköznap,60
601,7,10,hétköznap,60
602,7,20,hétköznap,60
603,7,30,hétköznap,60
604,7,40,hétköznap,60
605,7,50,hétköznap,60
606,8,0,hétköznap,60
607,8,10,hétköznap,60
608,8,20,hétköznap,60
609,8,30,hétköznap,60
610,8,40,hétköznap,60
611,8,50,hétköznap,60
612,9,0,hétköznap,60
613,9,10,hétköznap,60
614,9,20,hétköznap,60
615,9,30,hétköznap,60
616,9,40,hétköznap,60
617,9,50,hétköznap,60
618,10,0,hétköznap,60
619,10,10,hétköznap,60
620,10,20,hétköznap,60
621,10,30,hétköznap,60
622,10,40,hétköznap,60
623,10,50,hétköznap,60
624,11,0,hétköznap,60
625,11,10,hétköznap,60
626,11,20,hétköznap,60
627,11,30,hétköznap,60
628,11,40,hétköznap,60
629,11,50,hétköznap,60
630,12,0,hétköznap,60
631,12,10,hétköznap,60
632,12,20,hétköznap,60
633,12,30,hétköznap,60
634,12,40,hétköznap,60
635,12,50,hétköznap,60
636,13,0,hétköznap,60
637,13,10,hétköznap,60
638,13,20,hétköznap,60
639,13,30,hétköznap,60
640,13,40,hétköznap,60
641,13,50,hétköznap,60
642,14,0,hétköznap,60
643,14,10,hétköznap,60
644,14,20,hétköznap,60
645,14,30,hétköznap,60
646,14,40,hétköznap,60
647,14,50,hétköznap,60
648,15,0,hétköznap,60
649,15,10,hétköznap,60
650,15,20,hétköznap,60
651,15,30,hétköznap,60
652,15,40,hétköznap,60
653,15,50,hétköznap,60
654,16,0,hétköznap,60
655,16,10,hétköznap,60
656,16,20,hétköznap,60
657,16,30,hétköznap,60
658,16,40,hétköznap,60
659,16,50,hétköznap,60
660,17,0,hétköznap,60
661,17,10,hétköznap,60
662,17,20,hétköznap,60
663,17,30,hétköznap,60
664,17,40,hétköznap,60
665,17,50,hétköznap,60
666,18,0,hétköznap,60
667,18,10,hétköznap,60
668,18,20,hétköznap,60
669,18,30,hétköznap,60
670,18,40,hétköznap,60
671,18,50,hétköznap,60
672,19,0,hétköznap,60
673,19,10,hétköznap,60
674,19,20,hétköznap,60
675,19,30,hétköznap,60
676,19,40,hétköznap,60
677,19,50,hétköznap,60
678,20,0,hétköznap,60
679,20,10,hétköznap,60
680,20,20,hétköznap,60
681,20,30,hétköznap,60
682,20,40,hétköznap,60
683,20,50,hétköznap,60
684,21,0,hétköznap,60
685,21,10,hétköznap,60
686,21,20,hétköznap,60
687,21,30,hétköznap,60
688,21,40,hétköznap,60
689,21,50,hétköznap,60
690,22,0,hétköznap,60
691,4,15,hétvége,60
692,4,30,hétvége,60
693,4,45,hétvége,60
694,5,0,hétvége,60
695,5,15,hétvége,60
696,5,30,hétvége,60
697,5,45,hétvége,60
698,6,0,hétvége,60
699,6,15,hétvége,60
700,6,30,hétvége,60
701,6,45,hétvége,60
702,7,0,hétvége,60
703,7,15,hétvége,60
704,7,30,hétvége,60
705,7,45,hétvége,60
706,8,0,hétvége,60
707,8,15,hétvége,60
708,8,30,hétvége,60
709,8,45,hétvége,60
710,9,0,hétvége,60
711,9,15,hétvége,60
712,9,30,hétvége,60
713,9,45,hétvége,60
714,10,0,hétvége,60
715,10,15,hétvége,60
716,10,30,hétvége,60
717,10,45,hétvége,60
718,11,0,hétvége,60
719,11,15,hétvége,60
720,11,30,hétvége,60
721,11,45,hétvége,60
722,12,0,hétvége,60
723,12,15,hétvége,60
724,12,30,hétvége,60
725,12,45,hétvége,60
726,13,0,hétvége,60
727,13,15,hétvége,60
728,13,30,hétvége,60
729,13,45,hétvége,60
730,14,0,hétvége,60
731,14,15,hétvége,60
732,14,30,hétvége,60
733,14,45,hétvége,60
734,15,0,hétvége,60
735,15,15,hétvége,60
736,15,30,hétvége,60
737,15,45,hétvége,60
738,16,0,hétvége,60
739,16,15,hétvége,60
740,16,30,hétvége,60
741,16,45,hétvége,60
742,17,0,hétvége,60
743,17,15,hétvége,60
744,17,30,hétvége,60
745,17,45,hétvége,60
746,18,0,hétvége,60
747,18,15,hétvége,60
748,18,30,hétvége,60
749,18,45,hétvége,60
750,19,0,hétvége,60
751,19,15,hétvége,60
752,19,30,hétvége,60
753,19,45,hétvége,60
754,20,0,hétvége,60
755,20,15,hétvége,60
756,20,30,hétvége,60
757,20,45,hétvége,60
758,21,0,hétvége,60
759,21,15,hétvége,60
760,21,30,hétvége,60
761,21,45,hétvége,60
762,22,0,hétvége,60
763,4,10,hétköznap,60Y
764,4,20,hétköznap,60Y
765,4,30,hétköznap,60Y
766,4,40,hétköznap,60Y
767,4,50,hétköznap,60Y
768,5,0,hétköznap,60Y
769,5,10,hétköznap,60Y
770,5,20,hétköznap,60Y
771,5,30,hétköznap,60Y
772,5,40,hétköznap,60Y
773,5,50,hétköznap,60Y
774,6,0,hétköznap,60Y
775,6,10,hétköznap,60Y
776,6,20,hétköznap,60Y
777,6,30,hétköznap,60Y
778,6,40,hétköznap,60Y
779,6,50,hétköznap,60Y
780,7,0,hétköznap,60Y
781,7,10,hétköznap,60Y
782,7,20,hétköznap,60Y
783,7,30,hétköznap,60Y
784,7,40,hétköznap,60Y
785,7,50,hétköznap,60Y
786,8,0,hétköznap,60Y
787,8,10,hétköznap,60Y
788,8,20,hétköznap,60Y
789,8,30,hétköznap,60Y
790,8,40,hétköznap,60Y
791,8,50,hétköznap,60Y
792,9,0,hétköznap,60Y
793,9,10,hétköznap,60Y
794,9,20,hétköznap,60Y
795,9,30,hétköznap,60Y
796,9,40,hétköznap,60Y
797,9,50,hétköznap,60Y
798,10,0,hétköznap,60Y
799,10,10,hétköznap,60Y
800,10,20,hétköznap,60Y
801,10,30,hétköznap,60Y
802,10,40,hétköznap,60Y
803,10,50,hétköznap,60Y
804,11,0,hétköznap,60Y
805,11,10,hétköznap,60Y
806,11,20,hétköznap,60Y
807,11,30,hétköznap,60Y
808,11,40,hétköznap,60Y
809,11,50,hétköznap,60Y
810,12,0,hétköznap,60Y
811,12,10,hétköznap,60Y
812,12,20,hétköznap,60Y
813,12,30,hétköznap,60Y
814,12,40,hétköznap,60Y
815,12,50,hétköznap,60Y
816,13,0,hétköznap,60Y
817,13,10,hétköznap,60Y
818,13,20,hétköznap,60Y
819,13,30,hétköznap,60Y
820,13,40,hétköznap,60Y
821,13,50,hétköznap,60Y
822,14,0,hétköznap,60Y
823,14,10,hétköznap,60Y
824,14,20,hétköznap,60Y
825,14,30,hétköznap,60Y
826,14,40,hétköznap,60Y
827,14,50,hétköznap,60Y
828,15,0,hétköznap,60Y
829,15,10,hétköznap,60Y
830,15,20,hétköznap,60Y
831,15,30,hétköznap,60Y
832,15,40,hétköznap,60Y
833,15,50,hétköznap,60Y
834,16,0,hétköznap,60Y
835,16,10,hétköznap,60Y
836,16,20,hétköznap,60Y
837,16,30,hétköznap,60Y
838,16,40,hétköznap,60Y
839,16,50,hétköznap,60Y
840,17,0,hétköznap,60Y
841,17,10,hétköznap,60Y
842,17,20,hétköznap,60Y
843,17,30,hétköznap,60Y
844,17,40,hétköznap,60Y
845,17,50,hétköznap,60Y
846,18,0,hétköznap,60Y
847,18,10,hétköznap,60Y
848,18,20,hétköznap,60Y
849,18,30,hétköznap,60Y
850,18,40,hétköznap,60Y
851,18,50,hétköznap,60Y
852,19,0,hétköznap,60Y
853,19,10,hétköznap,60Y
854,19,20,hétköznap,60Y
855,19,30,hétköznap,60Y
856,19,40,hétköznap,60Y
857,19,50,hétköznap,60Y
858,20,0,hétköznap,60Y
859,20,10,hétköznap,60Y
860,20,20,hétköznap,60Y
861,20,30,hétköznap,60Y
862,20,40,hétköznap,60Y
863,20,50,hétköznap,60Y
864,21,0,hétköznap,60Y
865,21,10,hétköznap,60Y
866,21,20,hétköznap,60Y
867,21,30,hétköznap,60Y
868,21,40,hétköznap,60Y
869,21,50,hétköznap,60Y
870,22,0,hétköznap,60Y
871,4,15,hétvége,60Y
872,4,30,hétvége,60Y
873,4,45,hétvége,60Y
874,5,0,hétvége,60Y
875,5,15,hétvége,60Y
876,5,30,hétvége,60Y
877,5,45,hétvége,60Y
878,6,0,hétvége,60Y
879,6,15,hétvége,60Y
880,6,30,hétvége,60Y
881,6,45,hétvége,60Y
882,7,0,hétvége,60Y
883,7,15,hétvége,60Y
884,7,30,hétvége,60Y
885,7,45,hétvége,60Y
886,8,0,hétvége,60Y
887,8,15,hétvége,60Y
888,8,30,hétvége,60Y
889,8,45,hétvége,60Y
890,9,0,hétvége,60Y
891,9,15,hétvége,60Y
892,9,30,hétvége,60Y
893,9,45,hétvége,60Y
894,10,0,hétvége,60Y
895,10,15,hétvége,60Y
896,10,30,hétvége,60Y
897,10,45,hétvége,60Y
898,11,0,hétvége,60Y
899,11,15,hétvége,60Y
900,11,30,hétvége,60Y
901,11,45,hétvége,60Y
902,12,0,hétvége,60Y
903,12,15,hétvége,60Y
904,12,30,hétvége,60Y
905,12,45,hétvége,60Y
906,13,0,hétvége,60Y
907,13,15,hétvége,60Y
908,13,30,hétvége,60Y
909,13,45,hétvége,60Y
910,14,0,hétvége,60Y
911,14,15,hétvége,60Y
912,14,30,hétvége,60Y
913,14,45,hétvége,60Y
914,15,0,hétvége,60Y
915,15,15,hétvége,60Y
916,15,30,hétvége,60Y
917,15,45,hétvége,60Y
918,16,0,hétvége,60Y
919,16,15,hétvége,60Y
920,16,30,hétvége,60Y
921,16,45,hétvége,60Y
922,17,0,hétvége,60Y
923,17,15,hétvége,60Y
924,17,30,hétvége,60Y
925,17,45,hétvége,60Y
926,18,0,hétvége,60Y
927,18,15,hétvége,60Y
928,18,30,hétvége,60Y
929,18,45,hétvége,60Y
930,19,0,hétvége,60Y
931,19,15,hétvége,60Y
932,19,30,hétvége,60Y
933,19,45,hétvége,60Y
934,20,0,hétvége,60Y
935,20,15,hétvége,60Y
936,20,30,hétvége,60Y
937,20,45,hétvége,60Y
938,21,0,hétvége,60Y
939,21,15,hétvége,60Y
940,21,30,hétvége,60Y
941,21,45,hétvége,60Y
942,22,0,hétvége,60Y
943,4,15,hétköznap,64
944,4,30,hétköznap,64
945,4,45,hétköznap,64
946,5,0,hétköznap,64
947,5,15,hétköznap,64
948,5,30,hétköznap,64
949,5,45,hétköznap,64
950,6,0,hétköznap,64
951,6,15,hétköznap,64
952,6,30,hétköznap,64
953,6,45,hétköznap,64
954,7,0,hétköznap,64
955,7,15,hétköznap,64
956,7,30,hétköznap,64
957,7,45,hétköznap,64
958,8,0,hétköznap,64
959,8,15,hétköznap,64
960,8,30,hétköznap,64
961,8,45,hétköznap,64
962,9,0,hétköznap,64
963,9,15,hétköznap,64
964,9,30,hétköznap,64
965,9,45,hétköznap,64
966,10,0,hétköznap,64
967,10,15,hétköznap,64
968,10,30,hétköznap,64
969,10,45,hétköznap,64
970,11,0,hétköznap,64
971,11,15,hétköznap,64
972,11,30,hétköznap,64
973,11,45,hétköznap,64
974,12,0,hétköznap,64
975,12,15,hétköznap,64
976,12,30,hétköznap,64
977,12,45,hétköznap,64
978,13,0,hétköznap,64
979,13,15,hétköznap,64
980,13,30,hétköznap,64
981,13,45,hétköznap,64
982,14,0,hétköznap,64
983,14,15,hétköznap,64
984,14,30,hétköznap,64
985,14,45,hétköznap,64
986,15,0,hétköznap,64
987,15,15,hétköznap,64
988,15,30,hétköznap,64
989,15,45,hétköznap,64
990,16,0,hétköznap,64
991,16,15,hétköznap,64
992,16,30,hétköznap,64
993,16,45,hétköznap,64
994,17,0,hétköznap,64
995,17,15,hétköznap,64
996,17,30,hétköznap,64
997,17,45,hétköznap,64
998,18,0,hétköznap,64
999,18,15,hétköznap,64
